"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0E590","2020-03-16 00:00:00","40.000","99.000","1.900","12.700","0.870","1014.200","","0.000","-99.000","-99.000","-99.000","22.000","","12.700",""
"C0D540","2020-03-16 00:00:00","227.000","72.000","0.600","12.800","0.830","994.800","","0.000","-99.000","-99.000","-99.000","21.700","","10.700",""
"C0K420","2020-03-16 00:00:00","42.000","0.000","0.000","17.200","0.690","1014.900","","0.000","-99.000","-99.000","-99.000","23.600","","13.800",""
"C0Z180","2020-03-16 00:00:00","34.000","219.000","0.400","16.600","0.730","1018.000","","0.000","-99.000","-99.000","-99.000","18.900","","15.800",""
"C0AD10","2020-03-16 00:00:00","27.000","128.000","5.100","17.200","0.490","1017.300","","0.000","10.400","128.000","","20.500","","12.900",""
"C0M720","2020-03-16 00:00:00","225.000","0.000","0.000","17.300","0.710","993.600","","0.000","-99.000","-99.000","-99.000","22.800","","13.400",""
"C0V450","2020-03-16 00:00:00","51.000","0.000","0.200","17.400","0.990","1013.500","","0.000","-99.000","-99.000","-99.000","23.200","","16.800",""
"C0R280","2020-03-16 00:00:00","242.000","62.000","1.600","15.700","0.870","993.200","","0.500","-99.000","-99.000","-99.000","17.200","","14.600",""
"C0E610","2020-03-16 00:00:00","850.000","0.000","0.000","13.800","0.640","924.700","","3.000","-99.000","-99.000","-99.000","17.700","","9.800",""
"C0Z310","2020-03-16 00:00:00","59.000","357.000","1.000","16.200","0.780","1015.900","","0.000","-99.000","-99.000","-99.000","18.500","","15.200",""
"C0S700","2020-03-16 00:00:00","507.000","235.000","0.800","12.700","0.870","964.600","","0.500","-99.000","-99.000","-99.000","14.800","","11.900",""
"C0T9G0","2020-03-16 00:00:00","605.000","0.000","0.000","12.800","0.780","954.400","","1.000","-99.000","-99.000","-99.000","13.300","","10.200",""
"C0U520","2020-03-16 00:00:00","517.000","234.000","1.100","9.400","0.990","965.200","","0.000","-99.000","-99.000","-99.000","19.200","","8.300",""
"C0E750","2020-03-16 00:00:00","62.000","169.000","0.800","14.400","0.780","1012.500","","0.000","-99.000","-99.000","-99.000","21.700","","13.400",""
"C0G660","2020-03-16 00:00:00","27.000","0.000","0.200","16.800","0.740","1017.900","","0.000","-99.000","-99.000","-99.000","24.600","","15.000",""
"C0W140","2020-03-16 00:00:00","21.000","23.000","2.000","14.300","0.730","1020.000","","0.000","-99.000","-99.000","-99.000","18.800","","13.700",""
"C0U720","2020-03-16 00:00:00","1260.000","77.000","0.600","6.800","1.000","892.200","","0.000","-99.000","-99.000","-99.000","10.000","","5.600",""
"C0R690","2020-03-16 00:00:00","248.000","16.000","1.400","15.800","0.860","991.200","","0.000","-99.000","-99.000","-99.000","18.500","","15.100",""
"C0X150","2020-03-16 00:00:00","18.000","25.000","1.300","18.000","0.790","1019.300","","0.000","-99.000","-99.000","-99.000","24.500","","16.000",""
"C0Z050","2020-03-16 00:00:00","830.000","282.000","0.500","10.000","0.960","929.400","","0.000","-99.000","-99.000","-99.000","10.900","","9.700",""
"C0I490","2020-03-16 00:00:00","1601.000","222.000","1.800","7.700","0.920","844.800","","0.000","-99.000","-99.000","-99.000","16.000","","7.700",""
"C0I090","2020-03-16 00:00:00","910.000","219.000","1.200","13.300","1.000","917.500","","0.000","-99.000","-99.000","-99.000","15.800","","9.300",""
"C0X240","2020-03-16 00:00:00","394.000","207.000","0.400","14.200","0.920","975.200","","0.000","-99.000","-99.000","-99.000","22.200","","12.600",""
"C0S990","2020-03-16 00:00:00","409.000","12.000","2.700","14.900","0.820","974.500","","1.000","-99.000","-99.000","-99.000","16.100","","13.800",""
"C0E850","2020-03-16 00:00:00","104.000","0.000","0.200","12.900","0.850","1007.600","","0.000","-99.000","-99.000","-99.000","21.800","","12.100",""
"C0T9B0","2020-03-16 00:00:00","558.000","278.000","1.300","12.800","0.790","958.500","","2.000","-99.000","-99.000","-99.000","14.000","","10.700",""
"C0G650","2020-03-16 00:00:00","34.000","0.000","0.000","17.200","0.890","1015.700","","0.000","-99.000","-99.000","-99.000","24.800","","13.500",""
"C0K580","2020-03-16 00:00:00","26.000","317.000","0.300","17.500","0.820","1018.300","","0.000","-99.000","-99.000","-99.000","24.300","","14.800",""
"C0X050","2020-03-16 00:00:00","25.000","0.000","0.000","16.300","0.920","1015.900","","0.000","-99.000","-99.000","-99.000","25.400","","15.200",""
"CM0100","2020-03-16 00:00:00","25.000","141.000","1.300","14.300","0.650","1017.800","","0.000","-99.000","-99.000","-99.000","20.500","","13.800",""
"C0AC70","2020-03-16 00:00:00","71.000","84.000","1.700","14.400","0.650","1013.300","","0.000","-99.000","-99.000","-99.000","20.600","","13.900",""
"CM0130","2020-03-16 00:00:00","11.000","42.000","1.100","19.000","0.670","1019.300","","0.000","-99.000","-99.000","-99.000","21.600","","16.800",""
"C0W110","2020-03-16 00:00:00","16.000","312.000","1.700","13.700","0.880","1021.000","","0.000","-99.000","-99.000","-99.000","17.600","","12.500",""
"C0R670","2020-03-16 00:00:00","26.000","68.000","3.200","18.700","0.650","1018.300","","0.000","9.000","75.000","","19.800","","18.400",""
"C0X120","2020-03-16 00:00:00","28.000","359.000","0.600","18.800","0.740","1017.800","","0.000","-99.000","-99.000","-99.000","24.300","","16.000",""
"C0R100","2020-03-16 00:00:00","1006.000","0.000","0.200","11.100","0.990","907.400","","1.500","-99.000","-99.000","-99.000","15.500","","11.100",""
"C0C700","2020-03-16 00:00:00","151.000","94.000","2.800","14.700","0.600","1003.700","","0.000","-99.000","-99.000","-99.000","20.000","","13.300",""
